                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.3899,                  1.393,                 1.9322,                0.74591,                0.67797,                0.75023,                0.47023,                 1.4265,                 1.4062,                  2.208,              0.0016832,              0.0016832,              0.0016832
                     35,                 1.4158,                 1.4169,                 1.9761,                0.76534,                0.72034,                0.76797,                0.49554,                 1.3508,                  1.367,                 2.1486,              0.0016733,              0.0016733,              0.0016733
                     36,                 1.3968,                 1.3894,                 1.8999,                0.83505,                0.65254,                0.78051,                0.51353,                 1.3026,                  1.214,                 2.0536,              0.0016634,              0.0016634,              0.0016634
                     37,                 1.3547,                 1.3215,                 1.8844,                0.85347,                0.64407,                 0.7583,                0.50153,                 1.2331,                 1.3016,                 1.9623,              0.0016535,              0.0016535,              0.0016535
                     38,                 1.3218,                 1.3315,                 1.8697,                0.84686,                0.70299,                0.80617,                0.54935,                 1.2356,                  1.328,                 1.9846,              0.0016436,              0.0016436,              0.0016436
                     39,                 1.3335,                 1.3229,                 1.8862,                0.82612,                0.70339,                0.83097,                0.54361,                 1.2254,                 1.1559,                 1.9714,              0.0016337,              0.0016337,              0.0016337
                     40,                 1.3387,                 1.3262,                 1.8711,                0.84433,                0.70339,                0.81224,                0.51359,                 1.2455,                 1.3516,                 1.9605,              0.0016238,              0.0016238,              0.0016238
                     41,                 1.3466,                 1.2774,                 1.8664,                0.87107,                0.66949,                0.80678,                0.54104,                 1.2186,                 1.1788,                 1.9467,              0.0016139,              0.0016139,              0.0016139
                     42,                 1.2982,                 1.2618,                 1.8253,                0.87998,                0.66102,                 0.7886,                0.51997,                 1.2334,                 1.2432,                 1.9922,               0.001604,               0.001604,               0.001604
                     43,                  1.279,                 1.2241,                  1.805,                0.71755,                0.72881,                  0.788,                0.50993,                 1.2308,                  1.405,                 1.9442,              0.0015941,              0.0015941,              0.0015941
                     44,                 1.3162,                 1.2902,                 1.8464,                0.85482,                0.71186,                0.80567,                0.55313,                 1.1764,                 1.1419,                 1.9047,              0.0015842,              0.0015842,              0.0015842
                     45,                 1.2907,                  1.268,                 1.8221,                0.86007,                0.75424,                0.82583,                0.52417,                 1.2777,                 1.1293,                 2.0933,              0.0015743,              0.0015743,              0.0015743
                     46,                  1.254,                 1.2093,                 1.7817,                0.80435,                0.69492,                0.78704,                0.51981,                 1.2385,                 1.2198,                 1.9329,              0.0015644,              0.0015644,              0.0015644
                     47,                  1.232,                 1.2261,                 1.7777,                 0.7778,                0.77119,                0.83597,                0.56508,                 1.2177,                 1.1134,                 1.9333,              0.0015545,              0.0015545,              0.0015545
                     48,                 1.2508,                 1.1856,                 1.7825,                0.88532,                0.69492,                0.82231,                0.57437,                 1.1963,                 1.1434,                 1.9058,              0.0015446,              0.0015446,              0.0015446
                     49,                  1.186,                 1.1335,                 1.7286,                0.85122,                0.72881,                0.82601,                0.56842,                 1.1753,                 1.1188,                 1.8893,              0.0015347,              0.0015347,              0.0015347
                     50,                 1.2341,                 1.1365,                 1.7578,                 0.8232,                0.75424,                0.84915,                0.59059,                 1.1367,                 1.0319,                 1.8211,              0.0015248,              0.0015248,              0.0015248
                     51,                 1.2406,                 1.1623,                 1.7738,                0.91552,                0.77966,                0.89062,                0.62462,                  1.088,                0.93976,                 1.7909,              0.0015149,              0.0015149,              0.0015149
