                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    151,                0.84934,                0.69777,                  1.398,                0.88628,                0.87288,                0.92568,                0.70802,                0.86325,                 0.6314,                 1.5208,              0.0005249,              0.0005249,              0.0005249
                    152,                0.81251,                0.66658,                 1.3781,                0.98923,                 0.7786,                0.92076,                0.70409,                 0.8805,                0.61906,                 1.5169,               0.000515,               0.000515,               0.000515
                    153,                0.83262,                0.69215,                 1.3861,                0.92817,                0.88136,                0.92597,                0.69857,                0.91577,                 0.6903,                 1.5463,              0.0005051,              0.0005051,              0.0005051
                    154,                0.83639,                0.67917,                 1.3821,                0.89775,                0.85593,                0.91079,                0.70102,                0.89584,                0.68636,                  1.541,              0.0004952,              0.0004952,              0.0004952
                    155,                0.81409,                0.66679,                   1.37,                0.92698,                0.86067,                0.92428,                0.71127,                0.89849,                0.64565,                 1.5313,              0.0004853,              0.0004853,              0.0004853
                    156,                0.80863,                0.67703,                 1.3737,                0.94787,                0.83898,                0.93008,                 0.7213,                0.86686,                0.61919,                 1.4976,              0.0004754,              0.0004754,              0.0004754
                    157,                0.81367,                0.65839,                 1.3767,                0.96209,                0.86039,                0.93053,                0.71622,                0.86264,                0.62117,                  1.503,              0.0004655,              0.0004655,              0.0004655
                    158,                0.78691,                0.64697,                 1.3536,                0.95121,                0.82607,                0.91997,                0.70641,                0.87158,                0.63178,                 1.5229,              0.0004556,              0.0004556,              0.0004556
                    159,                0.77152,                0.63389,                 1.3465,                0.96132,                0.84254,                0.92718,                0.71098,                0.87649,                0.61825,                 1.5267,              0.0004457,              0.0004457,              0.0004457
                    160,                0.80433,                0.66105,                 1.3695,                0.92823,                0.85593,                0.92933,                0.71522,                0.88752,                0.62964,                  1.535,              0.0004358,              0.0004358,              0.0004358
                    161,                0.79121,                0.65377,                  1.346,                0.95275,                0.85441,                0.92609,                0.70764,                0.88146,                0.63189,                 1.5187,              0.0004259,              0.0004259,              0.0004259
                    162,                0.80463,                0.66162,                 1.3554,                0.93538,                0.85878,                0.92724,                0.71296,                0.89312,                0.65614,                 1.5328,               0.000416,               0.000416,               0.000416
                    163,                0.81495,                0.67718,                 1.3743,                 0.9401,                0.84746,                 0.9222,                0.71786,                0.87335,                0.61733,                 1.4989,              0.0004061,              0.0004061,              0.0004061
                    164,                0.79134,                0.64481,                 1.3599,                0.91478,                0.85593,                0.91402,                0.71138,                 0.8514,                0.64742,                 1.4887,              0.0003962,              0.0003962,              0.0003962
                    165,                 0.8061,                 0.6394,                 1.3525,                0.94437,                0.84746,                0.92573,                0.72974,                0.82892,                0.61848,                  1.481,              0.0003863,              0.0003863,              0.0003863
                    166,                0.79407,                0.65329,                 1.3431,                0.90852,                0.87288,                0.93835,                0.73097,                0.84955,                 0.5922,                 1.4912,              0.0003764,              0.0003764,              0.0003764
                    167,                0.79633,                0.65089,                  1.358,                0.92606,                0.84916,                0.92746,                 0.7224,                0.84614,                0.61554,                  1.495,              0.0003665,              0.0003665,              0.0003665
                    168,                0.78368,                0.64759,                 1.3456,                0.93386,                0.83762,                0.92378,                0.71855,                0.87807,                0.60314,                 1.5223,              0.0003566,              0.0003566,              0.0003566
                    169,                0.78024,                0.66273,                 1.3338,                 0.9695,                0.81356,                0.92312,                0.70954,                0.90599,                 0.6542,                 1.5479,              0.0003467,              0.0003467,              0.0003467
                    170,                0.78547,                0.64154,                 1.3492,                0.97812,                0.81356,                0.92157,                0.71661,                0.89025,                0.60493,                 1.5424,              0.0003368,              0.0003368,              0.0003368
                    171,                0.79742,                0.65942,                  1.373,                0.89627,                0.88136,                0.92612,                0.72945,                0.87872,                0.61268,                 1.5217,              0.0003269,              0.0003269,              0.0003269
                    172,                0.77562,                 0.6529,                 1.3274,                0.88819,                0.87288,                0.93428,                0.73127,                0.88073,                0.59732,                 1.5364,               0.000317,               0.000317,               0.000317
                    173,                0.74927,                0.62071,                 1.3196,                0.89489,                0.86581,                0.93645,                0.72374,                0.85854,                 0.5965,                 1.5045,              0.0003071,              0.0003071,              0.0003071
                    174,                0.76271,                 0.6164,                  1.336,                0.90995,                0.85636,                0.92666,                0.71473,                0.88589,                0.59185,                  1.541,              0.0002972,              0.0002972,              0.0002972
                    175,                 0.7706,                0.62525,                 1.3333,                 0.9013,                0.85125,                0.93137,                 0.7229,                 0.8703,                0.58208,                 1.4993,              0.0002873,              0.0002873,              0.0002873
                    176,                0.73804,                0.60186,                 1.3317,                0.97914,                0.79577,                0.92958,                  0.715,                0.87347,                0.61545,                 1.5122,              0.0002774,              0.0002774,              0.0002774
                    177,                0.76458,                0.59904,                 1.3292,                0.94109,                0.81226,                0.92954,                0.71144,                0.88231,                 0.6169,                 1.5136,              0.0002675,              0.0002675,              0.0002675
                    178,                0.74626,                0.61814,                 1.3009,                0.93449,                0.84621,                0.93193,                0.72326,                0.84621,                 0.5831,                 1.4838,              0.0002576,              0.0002576,              0.0002576
                    179,                0.77237,                0.63546,                 1.3415,                0.91723,                0.84526,                0.93406,                 0.7149,                0.88966,                0.59441,                 1.5288,              0.0002477,              0.0002477,              0.0002477
                    180,                0.75084,                0.60927,                 1.3175,                0.94709,                0.84746,                0.92896,                0.72437,                0.85175,                0.59049,                 1.4792,              0.0002378,              0.0002378,              0.0002378
                    181,                0.76037,                 0.6293,                 1.3275,                0.93458,                0.84746,                0.94113,                0.73579,                0.83008,                0.58012,                 1.4695,              0.0002279,              0.0002279,              0.0002279
                    182,                0.75305,                0.61359,                 1.3312,                0.91579,                0.86441,                0.92795,                0.71822,                0.87462,                 0.5926,                 1.5098,               0.000218,               0.000218,               0.000218
                    183,                0.74995,                0.61917,                 1.3188,                 0.8999,                0.87288,                0.94084,                0.73471,                0.85362,                0.58275,                 1.4917,              0.0002081,              0.0002081,              0.0002081
                    184,                0.75485,                0.61966,                 1.3191,                0.92501,                0.83628,                0.93517,                0.72918,                0.86363,                0.59075,                 1.4878,              0.0001982,              0.0001982,              0.0001982
                    185,                0.73338,                0.59651,                 1.3097,                0.91859,                0.87288,                0.94046,                0.73442,                0.84079,                0.58014,                 1.4694,              0.0001883,              0.0001883,              0.0001883
                    186,                0.77487,                0.63001,                 1.3363,                0.90171,                0.87288,                0.93253,                0.73084,                0.85915,                0.58598,                 1.4807,              0.0001784,              0.0001784,              0.0001784
                    187,                0.73783,                0.61458,                 1.3126,                 0.9544,                0.81356,                0.93593,                0.72592,                0.87664,                0.59083,                 1.5046,              0.0001685,              0.0001685,              0.0001685
                    188,                0.73122,                0.60655,                 1.3121,                0.94268,                0.83629,                 0.9305,                0.73149,                0.84099,                0.59292,                  1.476,              0.0001586,              0.0001586,              0.0001586
                    189,                0.73734,                0.60632,                 1.3115,                0.92458,                0.83898,                0.92946,                0.73443,                0.85398,                0.58631,                 1.4929,              0.0001487,              0.0001487,              0.0001487
                    190,                0.73443,                0.58676,                 1.3011,                0.94043,                0.80268,                0.93105,                0.72264,                0.87434,                0.59384,                 1.5057,              0.0001388,              0.0001388,              0.0001388
                    191,                0.59864,                0.52101,                 1.2111,                0.97485,                0.80508,                0.92741,                0.72824,                 0.8578,                0.58735,                 1.4801,              0.0001289,              0.0001289,              0.0001289
                    192,                0.59636,                0.47349,                 1.2125,                0.93231,                0.83051,                0.92429,                0.71597,                0.86866,                0.60534,                 1.4821,               0.000119,               0.000119,               0.000119
                    193,                0.58332,                 0.4449,                 1.1967,                0.93979,                0.81356,                0.92825,                0.72471,                0.85534,                 0.6098,                 1.4655,              0.0001091,              0.0001091,              0.0001091
                    194,                0.56172,                0.44315,                 1.1807,                0.90169,                0.85501,                0.92825,                0.72325,                0.86313,                0.60705,                  1.482,               9.92e-05,               9.92e-05,               9.92e-05
                    195,                0.56634,                0.43929,                 1.1967,                0.87032,                0.87288,                0.92807,                0.72286,                0.87007,                0.60052,                 1.4995,               8.93e-05,               8.93e-05,               8.93e-05
                    196,                0.54405,                0.42834,                 1.1861,                0.89571,                0.87346,                0.93555,                0.72823,                0.87084,                0.59023,                 1.4979,               7.94e-05,               7.94e-05,               7.94e-05
                    197,                0.55409,                0.43248,                 1.1798,                0.91137,                0.87141,                0.93392,                0.72496,                  0.873,                0.59504,                  1.503,               6.95e-05,               6.95e-05,               6.95e-05
                    198,                0.55082,                0.43354,                 1.1759,                0.88477,                0.87288,                0.93444,                0.71975,                0.87762,                0.62302,                 1.5085,               5.96e-05,               5.96e-05,               5.96e-05
                    199,                0.55495,                   0.43,                 1.1799,                0.88148,                0.88983,                 0.9358,                0.72659,                0.87329,                0.60567,                 1.5039,               4.97e-05,               4.97e-05,               4.97e-05
                    200,                0.55878,                0.42588,                 1.1803,                0.88117,                0.88136,                0.93197,                0.72497,                0.87602,                0.59515,                 1.5023,               3.98e-05,               3.98e-05,               3.98e-05
